CAN init ok!\r\n
0x1,-0.00,-0.03,-0.04
13.69,0x1,0.48,-0.21
13.79,0x1,0.45,-0.17
13.90,0x1,0.41,-0.19
14.00,0x1,0.39,-0.18
14.10,0x1,0.36,-0.14
14.20,0x1,0.34,-0.06
14.30,0x1,0.32,-0.12
14.41,0x1,0.31,0.01
14.51,0x1,0.31,-0.02
14.61,0x1,0.31,0.02
14.71,0x1,0.31,-0.01
14.82,0x1,0.31,0.01
14.92,0x1,0.31,-0.01
15.02,0x1,0.31,0.01
15.12,0x1,0.31,-0.02
15.22,0x1,0.31,-0.01
15.33,0x1,0.31,-0.01
15.43,0x1,0.31,-0.01
15.53,0x1,0.31,0.01
15.63,0x1,0.31,-0.01
15.73,0x1,0.31,-0.01
15.84,0x1,0.32,0.10
15.94,0x1,0.37,0.28
16.04,0x1,0.46,0.51
16.14,0x1,0.59,0.63
16.25,0x1,0.74,0.72
16.35,0x1,0.91,0.87
16.45,0x1,1.11,0.93
16.55,0x1,1.31,0.87
16.66,0x1,1.44,0.22
16.76,0x1,1.41,-0.53
16.86,0x1,1.29,-0.54
16.96,0x1,1.18,-0.48
17.06,0x1,1.07,-0.43
17.17,0x1,0.98,-0.39
17.27,0x1,0.90,-0.38
17.37,0x1,0.82,-0.35
17.47,0x1,0.76,-0.27
17.57,0x1,0.70,-0.25
17.68,0x1,0.64,-0.24
17.78,0x1,0.59,-0.23
17.88,0x1,0.54,-0.18
17.98,0x1,0.50,-0.19
18.08,0x1,0.47,-0.13
18.19,0x1,0.43,-0.14
18.29,0x1,0.40,-0.13
18.39,0x1,0.38,-0.10
18.49,0x1,0.35,-0.11
18.60,0x1,0.33,-0.15
18.70,0x1,0.32,-0.03
18.80,0x1,0.32,0.02
18.90,0x1,0.32,0.01
19.01,0x1,0.32,0.03
19.11,0x1,0.32,-0.01
19.21,0x1,0.32,0.01
19.31,0x1,0.32,0.01
19.41,0x1,0.32,0.01
19.52,0x1,0.32,-0.02
19.62,0x1,0.32,-0.01
19.72,0x1,0.32,0.01
19.82,0x1,0.36,0.30
19.93,0x1,0.43,0.35
20.03,0x1,0.53,0.50
20.13,0x1,0.65,0.64
20.23,0x1,0.81,0.76
20.33,0x1,0.98,0.83
20.44,0x1,1.16,0.75
20.54,0x1,1.31,0.57
20.64,0x1,1.37,-0.12
20.74,0x1,1.28,-0.54
20.84,0x1,1.17,-0.48
20.95,0x1,1.07,-0.46
21.05,0x1,0.97,-0.41
21.15,0x1,0.89,-0.38
21.25,0x1,0.82,-0.32
21.36,0x1,0.75,-0.30
21.46,0x1,0.69,-0.26
21.56,0x1,0.64,-0.23
21.66,0x1,0.59,-0.22
21.76,0x1,0.54,-0.20
21.87,0x1,0.50,-0.19
21.97,0x1,0.46,-0.14
22.07,0x1,0.43,-0.10
22.17,0x1,0.40,-0.11
22.28,0x1,0.37,-0.07
22.38,0x1,0.35,-0.08
22.48,0x1,0.33,-0.15
22.58,0x1,0.31,0.02
22.68,0x1,0.31,-0.01
22.79,0x1,0.31,-0.01
22.89,0x1,0.31,0.02
22.99,0x1,0.31,-0.01
23.09,0x1,0.31,-0.01
23.20,0x1,0.31,0.01
23.30,0x1,0.31,-0.03
23.40,0x1,0.31,-0.01
23.50,0x1,0.31,0.02
23.60,0x1,0.30,-0.09
23.71,0x1,0.28,-0.11
23.81,0x1,0.26,-0.15
23.91,0x1,0.22,-0.15
24.01,0x1,0.17,-0.34
24.12,0x1,0.09,-0.40
24.22,0x1,-0.00,-0.44
24.32,0x1,-0.11,-0.50
24.42,0x1,-0.22,-0.54
24.52,0x1,-0.34,-0.57
24.63,0x1,-0.47,-0.64
24.73,0x1,-0.61,-0.61
24.83,0x1,-0.75,-0.67
24.93,0x1,-0.89,-0.61
25.04,0x1,-1.02,-0.53
25.14,0x1,-1.11,-0.34
25.24,0x1,-1.15,0.01
25.34,0x1,-1.08,0.43
25.44,0x1,-1.00,0.38
25.55,0x1,-0.92,0.30
25.65,0x1,-0.85,0.32
25.75,0x1,-0.78,0.31
25.85,0x1,-0.72,0.27
25.96,0x1,-0.67,0.24
26.06,0x1,-0.62,0.17
26.16,0x1,-0.58,0.21
26.26,0x1,-0.54,0.18
26.37,0x1,-0.51,0.10
26.47,0x1,-0.48,0.16
26.57,0x1,-0.45,0.09
26.67,0x1,-0.42,0.16
26.77,0x1,-0.42,0.02
26.88,0x1,-0.42,-0.01
26.98,0x1,-0.42,-0.02
27.08,0x1,-0.42,0.01
27.18,0x1,-0.42,0.02
27.28,0x1,-0.42,-0.03
