CAN init ok!\r\n
0x1,-0.00,-0.03,-0.04
2.04,0x1,-0.00,0.02
2.15,0x1,-0.00,-0.01
2.25,0x1,-0.00,-0.01
2.35,0x1,-0.00,-0.01
2.45,0x1,-0.00,0.02
2.55,0x1,-0.00,-0.02
2.66,0x1,-0.00,0.01
2.76,0x1,-0.00,0.01
2.86,0x1,-0.00,-0.01
2.96,0x1,-0.00,-0.01
3.06,0x1,-0.00,-0.01
3.17,0x1,-0.00,0.01
3.27,0x1,-0.00,-0.01
3.37,0x1,-0.00,-0.01
3.47,0x1,-0.00,-0.03
3.57,0x1,-0.00,-0.01
3.68,0x1,-0.00,0.01
3.78,0x1,0.00,-0.02
3.88,0x1,0.03,0.16
3.98,0x1,0.08,0.24
4.09,0x1,0.13,0.17
4.19,0x1,0.18,0.24
4.29,0x1,0.23,0.25
4.39,0x1,0.27,0.10
4.50,0x1,0.27,-0.01
4.60,0x1,0.27,-0.01
4.70,0x1,0.27,-0.03
4.80,0x1,0.27,-0.02
4.90,0x1,0.27,0.02
5.01,0x1,0.27,0.01
5.11,0x1,0.27,-0.02
5.21,0x1,0.27,0.02
5.31,0x1,0.28,0.08
5.41,0x1,0.30,0.14
5.52,0x1,0.33,0.12
5.62,0x1,0.36,0.12
5.72,0x1,0.39,0.17
5.82,0x1,0.42,0.14
5.93,0x1,0.46,0.12
6.03,0x1,0.48,0.05
6.13,0x1,0.49,-0.03
6.23,0x1,0.49,0.01
6.33,0x1,0.49,0.01
6.44,0x1,0.49,-0.02
6.54,0x1,0.49,-0.02
6.64,0x1,0.49,0.02
6.74,0x1,0.49,-0.01
6.85,0x1,0.49,0.03
6.95,0x1,0.49,0.03
7.05,0x1,0.51,0.10
7.15,0x1,0.55,0.17
7.25,0x1,0.60,0.23
7.36,0x1,0.66,0.31
7.46,0x1,0.74,0.41
7.56,0x1,0.84,0.51
7.66,0x1,0.96,0.62
7.76,0x1,1.12,0.73
7.87,0x1,1.29,0.84
7.97,0x1,1.48,0.80
8.07,0x1,1.62,0.43
8.17,0x1,1.72,0.44
8.28,0x1,1.80,0.08
8.38,0x1,1.75,-0.69
8.48,0x1,1.60,-0.71
8.58,0x1,1.45,-0.61
8.68,0x1,1.33,-0.57
8.79,0x1,1.21,-0.52
8.89,0x1,1.11,-0.48
8.99,0x1,1.01,-0.44
9.09,0x1,0.93,-0.37
9.19,0x1,0.85,-0.32
9.30,0x1,0.78,-0.30
9.40,0x1,0.71,-0.30
9.50,0x1,0.66,-0.26
9.60,0x1,0.60,-0.21
9.71,0x1,0.56,-0.21
9.81,0x1,0.52,-0.18
9.91,0x1,0.48,-0.19
10.01,0x1,0.44,-0.21
10.11,0x1,0.41,-0.13
10.22,0x1,0.38,-0.17
10.32,0x1,0.36,-0.14
10.42,0x1,0.34,-0.12
10.52,0x1,0.32,-0.13
10.63,0x1,0.31,-0.02
10.73,0x1,0.31,-0.01
10.83,0x1,0.31,-0.01
10.93,0x1,0.31,-0.02
11.03,0x1,0.31,-0.01
11.14,0x1,0.31,0.02
11.24,0x1,0.31,-0.01
11.34,0x1,0.31,-0.01
11.44,0x1,0.31,-0.01
11.55,0x1,0.31,-0.02
11.65,0x1,0.31,-0.03
11.75,0x1,0.31,0.02
11.85,0x1,0.31,-0.01
11.95,0x1,0.31,-0.02
12.06,0x1,0.31,0.02
12.16,0x1,0.33,0.25
12.26,0x1,0.41,0.47
12.36,0x1,0.52,0.57
12.47,0x1,0.66,0.72
12.57,0x1,0.84,0.82
12.67,0x1,1.01,0.68
12.77,0x1,1.02,-0.39
12.87,0x1,0.93,-0.39
12.98,0x1,0.85,-0.32
13.08,0x1,0.78,-0.29
13.18,0x1,0.72,-0.28
13.28,0x1,0.66,-0.22
13.39,0x1,0.61,-0.23
13.49,0x1,0.56,-0.24
13.59,0x1,0.52,-0.20
