CAN init ok!\r\n
21.25,0x1,0.76,-0.03
21.35,0x1,0.76,-0.02
21.46,0x1,0.74,-0.25
21.56,0x1,0.66,-0.66
21.66,0x1,0.49,-0.91
21.76,0x1,0.28,-1.02
21.87,0x1,0.10,-0.50
21.97,0x1,0.05,0.03
22.07,0x1,0.05,-0.03
22.17,0x1,0.05,-0.02
22.28,0x1,0.05,-0.01
22.38,0x1,0.05,0.01
22.48,0x1,0.05,0.01
22.58,0x1,0.05,-0.02
22.68,0x1,0.05,0.01
22.79,0x1,0.06,0.10
22.89,0x1,0.06,-0.03
22.99,0x1,0.06,-0.02
23.09,0x1,0.06,0.01
23.19,0x1,0.06,-0.02
23.30,0x1,0.06,-0.02
23.40,0x1,0.06,-0.03
23.50,0x1,0.06,-0.01
23.60,0x1,0.06,-0.03
23.71,0x1,0.06,0.01
23.81,0x1,0.05,-0.02
23.91,0x1,0.05,-0.01
24.01,0x1,0.05,0.03
24.11,0x1,0.05,0.08
24.22,0x1,0.09,0.31
24.32,0x1,0.18,0.51
24.42,0x1,0.31,0.65
24.52,0x1,0.46,0.72
24.63,0x1,0.62,0.68
24.73,0x1,0.75,0.52
24.83,0x1,0.83,0.17
24.93,0x1,0.84,-0.02
25.03,0x1,0.80,-0.29
25.14,0x1,0.66,-0.88
25.24,0x1,0.44,-1.09
25.34,0x1,0.22,-0.83
25.44,0x1,0.11,-0.24
25.55,0x1,0.09,-0.02
25.65,0x1,0.09,-0.02
25.75,0x1,0.10,-0.03
25.85,0x1,0.10,-0.03
25.95,0x1,0.10,-0.01
26.06,0x1,0.10,0.02
26.16,0x1,0.10,-0.02
26.26,0x1,0.10,-0.02
26.36,0x1,0.10,0.01
26.47,0x1,0.10,-0.02
26.57,0x1,0.10,-0.02
26.67,0x1,0.10,-0.02
26.77,0x1,0.10,0.01
26.87,0x1,0.10,-0.01
26.98,0x1,0.10,-0.02
27.08,0x1,0.10,-0.01
27.18,0x1,0.10,0.01
27.28,0x1,0.10,0.01
