CAN init ok!\r\n
0x1,-0.00,-0.02,-0.04
2.04,0x1,-0.00,-0.01
2.15,0x1,-0.00,-0.01
2.25,0x1,-0.00,-0.01
2.35,0x1,-0.00,0.01
2.45,0x1,-0.00,0.01
2.55,0x1,-0.00,-0.01
2.66,0x1,-0.00,-0.02
2.76,0x1,-0.00,0.01
2.86,0x1,-0.00,-0.01
2.96,0x1,-0.00,-0.02
3.06,0x1,-0.00,-0.02
3.17,0x1,-0.00,-0.01
3.27,0x1,-0.00,-0.03
3.37,0x1,-0.00,0.01
3.47,0x1,-0.00,-0.01
3.57,0x1,0.01,0.10
3.68,0x1,0.04,0.15
3.78,0x1,0.09,0.26
3.88,0x1,0.14,0.17
3.98,0x1,0.17,0.16
4.09,0x1,0.19,-0.01
4.19,0x1,0.19,0.02
4.29,0x1,0.19,0.01
4.39,0x1,0.19,0.01
4.50,0x1,0.19,-0.02
4.60,0x1,0.19,0.01
4.70,0x1,0.19,-0.01
4.80,0x1,0.19,-0.03
4.90,0x1,0.19,-0.02
5.01,0x1,0.19,-0.01
5.11,0x1,0.19,-0.03
5.21,0x1,0.18,-0.13
5.31,0x1,0.16,-0.18
5.41,0x1,0.12,-0.23
5.52,0x1,0.06,-0.29
5.62,0x1,0.00,-0.30
5.72,0x1,-0.06,-0.27
5.82,0x1,-0.12,-0.27
5.93,0x1,-0.17,-0.25
6.03,0x1,-0.21,-0.16
6.13,0x1,-0.24,-0.11
6.23,0x1,-0.27,-0.12
6.33,0x1,-0.27,-0.02
6.44,0x1,-0.27,-0.03
6.54,0x1,-0.27,0.01
6.64,0x1,-0.27,-0.02
6.74,0x1,-0.27,-0.01
6.84,0x1,-0.27,-0.02
6.95,0x1,-0.27,0.01
7.05,0x1,-0.27,0.08
7.15,0x1,-0.24,0.19
7.25,0x1,-0.20,0.20
7.36,0x1,-0.15,0.26
7.46,0x1,-0.09,0.30
7.56,0x1,-0.03,0.33
7.66,0x1,0.04,0.29
7.76,0x1,0.11,0.31
7.87,0x1,0.17,0.27
7.97,0x1,0.23,0.21
8.07,0x1,0.27,0.17
8.17,0x1,0.31,0.14
8.27,0x1,0.35,0.15
8.38,0x1,0.37,0.09
8.48,0x1,0.37,-0.02
8.58,0x1,0.37,0.02
8.68,0x1,0.37,-0.01
8.78,0x1,0.37,-0.04
8.89,0x1,0.38,0.10
8.99,0x1,0.40,0.10
9.09,0x1,0.42,0.10
9.19,0x1,0.43,-0.01
9.30,0x1,0.43,-0.01
9.40,0x1,0.43,-0.01
9.50,0x1,0.42,0.02
9.60,0x1,0.42,-0.02
9.70,0x1,0.41,-0.05
9.81,0x1,0.38,-0.23
9.91,0x1,0.31,-0.37
10.01,0x1,0.23,-0.43
10.11,0x1,0.12,-0.53
10.22,0x1,0.01,-0.42
10.32,0x1,-0.08,-0.41
10.42,0x1,-0.16,-0.39
10.52,0x1,-0.25,-0.39
10.62,0x1,-0.33,-0.34
10.73,0x1,-0.41,-0.34
10.83,0x1,-0.48,-0.30
10.93,0x1,-0.54,-0.27
11.03,0x1,-0.59,-0.25
11.13,0x1,-0.63,-0.18
11.24,0x1,-0.67,-0.15
11.34,0x1,-0.69,-0.14
11.44,0x1,-0.70,-0.04
11.54,0x1,-0.71,0.01
11.65,0x1,-0.71,-0.01
11.75,0x1,-0.70,0.03
11.85,0x1,-0.69,0.06
11.95,0x1,-0.68,-0.01
12.05,0x1,-0.68,-0.01
12.16,0x1,-0.69,-0.04
12.26,0x1,-0.72,-0.15
12.36,0x1,-0.75,-0.09
12.46,0x1,-0.76,-0.04
12.56,0x1,-0.76,-0.01
12.67,0x1,-0.76,0.01
12.77,0x1,-0.76,-0.01
12.87,0x1,-0.75,0.18
12.97,0x1,-0.68,0.42
13.08,0x1,-0.57,0.58
13.18,0x1,-0.44,0.67
13.28,0x1,-0.27,0.77
13.38,0x1,-0.10,0.74
13.49,0x1,0.07,0.77
13.59,0x1,0.23,0.68
13.69,0x1,0.37,0.64
13.79,0x1,0.53,0.75
13.89,0x1,0.70,0.74
14.00,0x1,0.86,0.65
14.10,0x1,1.00,0.60
14.20,0x1,1.08,-0.05
14.30,0x1,0.97,-0.86
14.40,0x1,0.80,-0.68
14.51,0x1,0.66,-0.57
14.61,0x1,0.55,-0.49
14.71,0x1,0.46,-0.38
14.81,0x1,0.38,-0.31
14.92,0x1,0.32,-0.24
15.02,0x1,0.27,-0.23
15.12,0x1,0.23,-0.15
15.22,0x1,0.20,-0.09
15.33,0x1,0.17,-0.10
15.43,0x1,0.15,-0.11
15.53,0x1,0.14,0.01
15.63,0x1,0.14,-0.02
15.73,0x1,0.14,-0.02
15.84,0x1,0.14,-0.02
15.94,0x1,0.14,0.01
16.04,0x1,0.14,-0.02
16.14,0x1,0.14,0.02
16.24,0x1,0.14,0.01
16.35,0x1,0.15,0.17
16.45,0x1,0.21,0.49
16.55,0x1,0.33,0.64
16.65,0x1,0.47,0.58
16.75,0x1,0.60,0.57
16.86,0x1,0.69,0.16
16.96,0x1,0.67,-0.43
17.06,0x1,0.56,-0.48
17.16,0x1,0.47,-0.39
17.27,0x1,0.39,-0.32
17.37,0x1,0.33,-0.28
17.47,0x1,0.28,-0.20
17.57,0x1,0.23,-0.18
17.67,0x1,0.20,-0.11
17.78,0x1,0.17,-0.14
17.88,0x1,0.15,-0.15
17.98,0x1,0.14,0.01
18.08,0x1,0.14,0.02
18.19,0x1,0.14,0.01
18.29,0x1,0.14,0.01
18.39,0x1,0.14,-0.02
18.49,0x1,0.14,0.02
18.59,0x1,0.17,0.29
18.70,0x1,0.26,0.41
18.80,0x1,0.38,0.52
18.90,0x1,0.49,0.51
19.00,0x1,0.60,0.51
19.11,0x1,0.72,0.58
19.21,0x1,0.83,0.36
19.31,0x1,0.85,-0.23
19.41,0x1,0.72,-0.63
19.51,0x1,0.60,-0.53
19.62,0x1,0.50,-0.41
19.72,0x1,0.41,-0.33
19.82,0x1,0.35,-0.26
19.92,0x1,0.29,-0.20
20.02,0x1,0.25,-0.21
20.13,0x1,0.21,-0.20
20.23,0x1,0.18,-0.15
20.33,0x1,0.16,-0.11
20.43,0x1,0.14,0.01
20.54,0x1,0.14,0.01
20.64,0x1,0.14,0.01
20.74,0x1,0.14,-0.02
20.84,0x1,0.14,0.01
20.95,0x1,0.14,0.01
21.05,0x1,0.14,-0.12
21.15,0x1,0.10,-0.25
21.25,0x1,0.01,-0.47
21.35,0x1,-0.09,-0.55
21.46,0x1,-0.22,-0.62
21.56,0x1,-0.36,-0.63
21.66,0x1,-0.51,-0.66
21.76,0x1,-0.65,-0.58
21.86,0x1,-0.77,-0.54
21.97,0x1,-0.88,-0.43
22.07,0x1,-0.93,0.03
22.17,0x1,-0.82,0.69
22.27,0x1,-0.68,0.59
22.38,0x1,-0.57,0.46
22.48,0x1,-0.48,0.37
22.58,0x1,-0.41,0.26
22.68,0x1,-0.35,0.23
22.79,0x1,-0.30,0.24
22.89,0x1,-0.26,0.11
22.99,0x1,-0.23,0.12
23.09,0x1,-0.21,0.11
23.19,0x1,-0.20,-0.02
23.30,0x1,-0.20,0.01
23.40,0x1,-0.20,-0.04
23.50,0x1,-0.20,-0.02
23.60,0x1,-0.20,-0.02
23.70,0x1,-0.20,-0.01
23.81,0x1,-0.24,-0.33
23.91,0x1,-0.33,-0.46
24.01,0x1,-0.45,-0.57
24.11,0x1,-0.58,-0.62
24.22,0x1,-0.72,-0.69
24.32,0x1,-0.87,-0.70
24.42,0x1,-1.03,-0.73
24.52,0x1,-1.18,-0.67
24.63,0x1,-1.32,-0.62
24.73,0x1,-1.44,-0.50
24.83,0x1,-1.54,-0.38
24.93,0x1,-1.57,0.07
25.03,0x1,-1.40,1.20
25.14,0x1,-1.16,1.01
25.24,0x1,-0.96,0.81
25.34,0x1,-0.80,0.66
25.44,0x1,-0.66,0.52
25.54,0x1,-0.55,0.44
25.65,0x1,-0.47,0.36
25.75,0x1,-0.40,0.28
25.85,0x1,-0.34,0.23
25.95,0x1,-0.29,0.17
26.05,0x1,-0.26,0.08
26.16,0x1,-0.23,0.08
26.26,0x1,-0.20,0.10
26.36,0x1,-0.20,-0.01
26.46,0x1,-0.20,0.01
26.57,0x1,-0.20,-0.02
26.67,0x1,-0.17,0.24
26.77,0x1,-0.10,0.40
26.87,0x1,0.01,0.54
26.98,0x1,0.15,0.66
27.08,0x1,0.29,0.64
27.18,0x1,0.43,0.66
27.28,0x1,0.58,0.70
