CAN init ok!\r\n
0x1,-0.01,-0.01,-0.04,\n
17.07,0x1,2.17,0.01,-4.14
17.17,0x1,2.18,0.07,-4.55
17.27,0x1,2.19,0.07,-4.55
17.37,0x1,2.20,0.02,-4.19
17.47,0x1,2.20,-0.02,-4.17
17.58,0x1,2.20,0.01,-4.19
17.68,0x1,2.20,0.07,-4.53
17.78,0x1,2.23,0.10,-4.68
17.88,0x1,2.26,0.17,-5.09
17.98,0x1,2.30,0.17,-5.11
18.09,0x1,2.34,0.17,-5.19
18.19,0x1,2.37,0.12,-4.96
18.29,0x1,2.40,0.16,-5.19
18.39,0x1,2.43,0.17,-5.29
18.50,0x1,2.46,0.15,-5.34
18.60,0x1,2.49,0.08,-5.14
18.70,0x1,2.52,0.12,-5.26
18.80,0x1,2.54,0.09,-5.24
18.91,0x1,2.57,0.11,-5.52
19.01,0x1,2.59,0.08,-5.29
19.11,0x1,2.63,0.16,-5.62
19.21,0x1,2.66,0.14,-5.67
19.31,0x1,2.67,0.10,-5.42
19.42,0x1,2.68,0.01,-5.09
19.52,0x1,2.68,0.01,-5.09
19.62,0x1,2.68,-0.03,-5.09
19.72,0x1,2.68,0.01,-5.09
19.82,0x1,2.68,0.05,-5.32
19.93,0x1,2.69,0.07,-5.29
20.03,0x1,2.70,-0.02,-5.16
20.13,0x1,2.70,-0.02,-5.14
20.23,0x1,2.70,0.01,-5.16
20.34,0x1,2.70,-0.01,-5.11
20.44,0x1,2.70,-0.03,-5.14
20.54,0x1,2.70,-0.01,-5.14
20.64,0x1,2.69,-0.03,-4.96
20.74,0x1,2.68,-0.10,-4.75
20.85,0x1,2.67,-0.04,-4.96
20.95,0x1,2.67,-0.02,-5.09
21.05,0x1,2.67,-0.01,-5.09
21.15,0x1,2.67,0.01,-5.09
21.25,0x1,2.67,0.01,-5.06
21.36,0x1,2.67,-0.01,-5.06
21.46,0x1,2.67,-0.01,-5.09
21.56,0x1,2.67,-0.02,-5.09
21.66,0x1,2.67,0.03,-5.09
21.77,0x1,2.67,-0.02,-5.09
21.87,0x1,2.67,-0.01,-5.09
21.97,0x1,2.67,-0.02,-5.09
22.07,0x1,2.67,-0.01,-5.06
22.17,0x1,2.66,-0.05,-4.96
22.28,0x1,2.65,-0.11,-4.63
22.38,0x1,2.62,-0.10,-4.55
22.48,0x1,2.61,-0.02,-4.96
22.58,0x1,2.61,-0.01,-4.96
22.69,0x1,2.61,-0.02,-4.96
22.79,0x1,2.61,-0.04,-4.98
22.89,0x1,2.61,0.02,-4.98
22.99,0x1,2.61,0.01,-4.96
23.09,0x1,2.61,-0.01,-4.98
23.20,0x1,2.61,0.02,-5.04
23.30,0x1,2.63,0.10,-5.49
23.40,0x1,2.67,0.23,-6.11
23.50,0x1,2.72,0.17,-5.88
23.61,0x1,2.73,0.01,-5.19
23.71,0x1,2.73,-0.01,-5.21
23.81,0x1,2.73,0.01,-5.19
23.91,0x1,2.73,-0.01,-5.21
24.01,0x1,2.73,-0.01,-5.21
24.12,0x1,2.73,0.01,-5.21
24.22,0x1,2.73,0.02,-5.24
24.32,0x1,2.73,0.01,-5.21
24.42,0x1,2.73,-0.01,-5.21
24.53,0x1,2.73,-0.02,-5.21
24.63,0x1,2.73,0.02,-5.21
24.73,0x1,2.73,0.01,-5.19
24.83,0x1,2.73,-0.02,-5.19
24.93,0x1,2.73,0.03,-5.21
25.04,0x1,2.73,0.01,-5.21
25.14,0x1,2.73,-0.02,-5.21
25.24,0x1,2.73,0.03,-5.19
25.34,0x1,2.73,0.01,-5.19
25.45,0x1,2.73,-0.02,-5.21
25.55,0x1,2.73,-0.03,-5.19
25.65,0x1,2.73,0.02,-5.21
25.75,0x1,2.73,-0.02,-5.21
25.86,0x1,2.73,0.01,-5.21
25.96,0x1,2.73,-0.02,-5.21
26.06,0x1,2.73,-0.01,-5.21
26.16,0x1,2.73,-0.01,-5.21
26.26,0x1,2.59,-1.19,-0.09
26.37,0x1,2.34,-1.07,-0.11
26.47,0x1,2.12,-0.95,-0.22
26.57,0x1,1.93,-0.88,-0.11
26.67,0x1,1.75,-0.79,-0.09
26.78,0x1,1.59,-0.71,-0.24
26.88,0x1,1.44,-0.64,-0.24
26.98,0x1,1.31,-0.58,-0.11
27.08,0x1,1.19,-0.52,-0.11
27.18,0x1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00CAN init ok!\r\n
0x1,0.94,-0.41,-0.04,\n
